Name,Category,MinPrice,MaxPrice,Store,Description
Batik Sarung Pria,Batik Jepara,200000,500000,"Batik Zara Pasar Ratu, Mahaeswari Jepara Craft",sarung batik untuk pria dengan motif klasik yang elegan. Ideal untuk digunakan dalam acara formal atau keagamaan. Menambah kesan berwibawa dengan sentuhan budaya tradisional.
Kain Batik Motif Klasik,Batik Jepara,400000,900000,"Batik Zara Pasar Ratu, Mahaeswari Jepara Craft",batik dengan motif klasik yang melambangkan kekayaan warisan budaya Indonesia. Cocok untuk dijadikan bahan pakaian atau dekorasi rumah. Dibuat dengan teknik tradisional yang rumit dan artistik.
Cendera Mata Menara Kudus,Cendera mata,100000,300000,"Griya Parcel Mahar Jepara, Jepara Art Furnicraft","Suvenir miniatur Menara Kudus yang ikonik, menggambarkan warisan budaya Jawa Tengah. Terbuat dari bahan berkualitas dengan detail yang menawan. Cocok sebagai hiasan rumah atau oleh-oleh khas Kudus,"
Gantungan Kunci Ukir,Cendera mata,20000,50000,"Mahaeswari Jepara Craft, Griya Parcel Mahar Jepara","Gantungan kunci yang diukir dengan motif khas Nusantara, memberikan sentuhan tradisional dalam setiap detail. Cocok sebagai suvenir atau oleh-oleh. Tahan lama dan mudah dibawa ke mana saja."
Magnet Kulkas Kayu,Cendera mata,15000,50000,"Jepara Art Furnicraft, Griya Parcel Mahar Jepara","Magnet kulkas berbahan kayu dengan ukiran etnik, sempurna sebagai koleksi atau hiasan dapur. Ringan dan mudah dipasang, memberikan nuansa tradisional dalam sentuhan modern. Ideal untuk penggemar seni kerajinan tangan."
Cendera Mata Wayang Kulit,Cendera mata,250000,600000,"Mahaeswari Jepara Craft, Griya Parcel Mahar Jepara",Miniatur wayang kulit yang merepresentasikan seni tradisional Indonesia. Dapat digunakan sebagai pajangan rumah atau koleksi seni. Setiap karakter wayang memiliki nilai filosofis dan cerita yang mendalam.
Kipas Batik,Cendera mata,50000,150000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Kipas dengan motif batik, menawarkan kesejukan dengan sentuhan seni tradisional. Terbuat dari bahan kain batik dan kayu yang kuat, cocok untuk digunakan di acara formal maupun kasual. Praktis dan elegan."
Gantungan Kunci Batik,Cendera mata,30000,100000,"Batik Zara Pasar Ratu, Jepara Art Furnicraft","Gantungan kunci dengan hiasan kain batik, menambah kesan etnik pada aksesori harian. Ideal sebagai suvenir atau hadiah kecil. Desainnya yang ringan dan praktis cocok untuk dipakai sehari-hari."
Kotak Perhiasan Batik,Cendera mata,150000,400000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Kotak perhiasan dengan lapisan kain batik di bagian luar, memberikan kesan tradisional yang elegan. Cocok untuk menyimpan aksesori atau perhiasan. Ukurannya yang praktis membuatnya mudah ditempatkan di meja rias."
Gelas Batik,Cendera mata,60000,150000,"Batik Zara Pasar Ratu, Jepara Art Furnicraft","Gelas yang dihias dengan motif batik, ideal untuk digunakan sehari-hari atau sebagai hiasan meja makan. Tahan lama dan artistik, cocok untuk koleksi pecinta batik. Memberikan sentuhan budaya pada peralatan minum."
Jam Dinding Batik,Cendera mata,200000,600000,"Jepara Art Furnicraft, Batik Zara Pasar Ratu","Jam dinding dengan hiasan motif batik pada bingkainya, memberikan nuansa tradisional yang kuat dalam dekorasi rumah. Fungsi praktisnya dipadukan dengan keindahan seni batik. Cocok untuk ruangan tamu atau kamar tidur."
Bingkai Foto Batik,Cendera mata,80000,200000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Bingkai foto berbahan dasar kayu yang dihias dengan motif batik, memberikan kesan unik pada setiap foto yang dipajang. Cocok sebagai hadiah atau pajangan di rumah. Menggabungkan seni modern dan tradisional."
Dompet Batik,Cendera mata,100000,250000,"Griya Parcel Mahar Jepara, Batik Zara Pasar Ratu","Dompet dengan motif batik yang artistik, memadukan fungsionalitas dengan estetika tradisional. Cocok untuk digunakan sehari-hari atau sebagai hadiah. Bahan yang kuat dan tahan lama membuatnya praktis dipakai."
Lukisan Batik,Cendera mata,250000,800000,"Batik Zara Pasar Ratu, Jepara Art Furnicraft","Lukisan berbahan kain batik yang dilukis dengan tangan, menampilkan keindahan seni dan budaya Indonesia. Ideal sebagai pajangan dinding atau dekorasi ruang tamu. Setiap lukisan memiliki karakteristik yang unik."
Gantungan Mobil Monel,Cendera mata,25000,65000,"Toko Adhesi Monel, Seni Sakti Monel","Gantungan mobil berbahan monel dengan desain yang simpel namun elegan. Tahan lama dan tidak mudah pudar, memberikan sentuhan eksklusif pada aksesori kendaraan Anda. Cocok sebagai hadiah unik."
Kap Lampu Gantung Kerang,Cendera mata,60000,300000,"Jepara Shellcraft, Jepara Art Furnicraft","Kap lampu gantung yang terbuat dari kerang alami, memberikan suasana hangat dan mewah di setiap ruangan. Ideal untuk pencahayaan dekoratif di rumah atau restoran. Desainnya yang unik mencerminkan sentuhan alam."
Vas Bunga Kerang,Cendera mata,25000,50000,"Jepara Shellcraft, Jepara Art Furnicraft","Vas bunga yang dihias dengan kerang-kerangan cantik, menambah keindahan alami pada dekorasi rumah. Cocok untuk menempatkan bunga segar atau kering. Memberikan nuansa pantai yang tenang dan eksotis."
Tirai Kerang,Cendera mata,50000,250000,"Jepara Shellcraft, Jepara Art Furnicraft","Tirai yang terbuat dari rangkaian kerang alami, memberikan kesan alami dan menambah estetika ruangan. Ideal untuk digunakan di pintu atau jendela. Suara lembut dari kerang memberikan nuansa tenang."
Dompet Kerang,Cendera mata,10000,70000,"Jepara Shellcraft, Jepara Art Furnicraft","Dompet yang dihiasi kerang-kerangan, memberikan tampilan unik dan etnik. Cocok digunakan sebagai aksesori sehari-hari atau oleh-oleh khas. Desainnya yang cantik dan ramah lingkungan menambah daya tariknya."
Figura Kerang,Cendera mata,25000,50000,"Jepara Shellcraft, Jepara Art Furnicraft","Figura foto yang dihiasi dengan kerang, memberikan sentuhan laut pada pajangan foto di rumah Anda. Cocok untuk ditempatkan di ruang tamu atau kamar tidur. Setiap figura memiliki pola kerang yang berbeda, menambah keunikan."
Hiasan Dinding Kerang,Cendera mata,35000,100000,"Jepara Shellcraft, Jepara Art Furnicraft","Hiasan dinding yang terbuat dari kerang dengan pola artistik, memberikan kesan eksklusif dan alami. Cocok untuk rumah dengan tema pantai atau alam. Memberikan keindahan visual yang menenangkan."
Cermin Kerang,Cendera mata,30000,250000,"Jepara Shellcraft, Jepara Art Furnicraft","Cermin dengan bingkai yang dihias kerang alami, memberikan sentuhan alam pada dekorasi ruangan. Cocok ditempatkan di kamar mandi, kamar tidur, atau ruang tamu. Menciptakan kesan mewah dan natural."
Kain Blangket Troso,Cendera mata,80000,120000,"Pengrajin Tenun Unsiyyah, Gallery Tenun Store",Kain tenun blangket khas Troso dengan tekstur halus dan pola tradisional. Cocok digunakan sebagai selimut atau hiasan dinding. Setiap helai dibuat dengan teknik tenun yang rumit dan berkualitas.
Kain Tenun Baron,Cendera mata,120000,150000,"Pengrajin Tenun Unsiyyah, Gallery Tenun Store","Kain tenun Baron dengan motif khas yang rumit, mencerminkan kekayaan tradisi Nusantara. Ideal digunakan sebagai bahan pakaian atau dekorasi. Teksturnya yang halus membuatnya nyaman dipakai sehari-hari."
Kemeja Batik Pria,Fashion,350000,800000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Kemeja batik dengan potongan klasik untuk pria, cocok digunakan dalam acara formal atau semi-formal. Motifnya yang elegan dan berkelas menambah kesan profesional. Terbuat dari bahan yang nyaman dan berkualitas."
Blus Batik Wanita,Fashion,300000,700000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara",Blus batik untuk wanita dengan desain modern yang stylish namun tetap mempertahankan sentuhan tradisional. Ideal untuk dipakai dalam berbagai kesempatan. Bahan yang nyaman dan motif elegan membuatnya diminati.
Kaos Batik Casual,Fashion,150000,400000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Kaos batik dengan desain kasual, memadukan motif tradisional dengan gaya modern. Cocok untuk digunakan sehari-hari atau dalam acara santai. Nyaman dipakai dengan bahan yang ringan dan breathable."
Kain Batik Panjang,Fashion,500000,1200000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara",Kain batik dengan panjang yang cukup untuk dijadikan pakaian tradisional atau dekorasi. Motifnya yang artistik dan penuh detail mencerminkan keindahan seni batik Indonesia. Ideal sebagai koleksi atau hadiah spesial.
Baju Batik Anak,Fashion,200000,500000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara",Baju batik untuk anak-anak dengan motif yang ceria dan penuh warna. Nyaman dipakai dan cocok untuk acara formal maupun santai. Memberikan sentuhan budaya dalam penampilan anak-anak.
Selendang Batik,Fashion,200000,500000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Selendang batik dengan motif elegan, cocok dipadukan dengan pakaian formal atau kasual. Dapat digunakan sebagai aksesori tambahan yang menambah kesan anggun. Terbuat dari bahan yang ringan dan nyaman."
Baju Batik Formal Pria,Fashion,400000,1000000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Baju batik untuk pria dengan desain formal, ideal untuk acara resmi atau pertemuan bisnis. Motif batiknya menambah kesan profesional dan berkelas. Bahan yang berkualitas membuatnya nyaman dipakai sepanjang hari."
Dress Batik Wanita,Fashion,500000,1200000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Dress batik untuk wanita dengan potongan elegan, cocok untuk acara formal atau semi-formal. Motif batiknya yang artistik memberikan kesan anggun dan tradisional. Nyaman dipakai dengan bahan yang lembut."
Kemeja Batik Lengan Panjang,Fashion,400000,900000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Kemeja batik berlengan panjang dengan motif klasik, cocok untuk acara formal. Terbuat dari bahan yang lembut dan nyaman, memberikan kesan profesional dengan sentuhan budaya."
Tas Batik,Fashion,200000,600000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Tas yang dihias dengan kain batik, memberikan kesan tradisional dan modern sekaligus. Cocok digunakan untuk berbagai acara, baik formal maupun santai. Tahan lama dan memiliki ruang yang cukup untuk barang-barang sehari-hari."
Sandal Batik,Fashion,100000,300000,"Batik Zara Pasar Ratu, Griya Parcel Mahar Jepara","Sandal dengan hiasan batik, memberikan sentuhan budaya pada aksesori kaki. Nyaman digunakan sehari-hari dengan desain yang ringan dan fleksibel. Cocok untuk acara kasual atau santai."
Kemeja Tenun,Fashion,200000,300000,"Pengrajin Tenun Unsiyyah, Gallery Tenun Store","Kemeja yang terbuat dari kain tenun tradisional, memberikan kesan eksklusif dan etnik. Cocok digunakan dalam acara formal maupun semi-formal. Desain yang modern dengan sentuhan budaya lokal."
Sepatu Tenun,Fashion,95000,135000,"Pengrajin Tenun Unsiyyah, Nambya Tenun",Sepatu dengan bahan tenun yang halus dan motif khas. Memberikan kenyamanan dan gaya unik bagi pemakainya. Cocok dipakai untuk acara santai atau formal dengan nuansa tradisional.
Sarung Tenun,Fashion,150000,300000,Pengrajin Tenun Unsiyyah," Sarung yang dibuat dengan teknik tenun tradisional, memberikan kehangatan dan kenyamanan. Ideal digunakan dalam acara keagamaan atau sebagai pakaian santai di rumah. Teksturnya yang lembut membuatnya nyaman dipakai."
Vas Bunga Keramik Hias,Keramik,150000,400000,"Toko Mede Keramik, Jepara Art Furnicraft","terbuat dari bahan keramik dengan hiasan tradisional yang indah. Cocok untuk menempatkan bunga segar atau buatan, memberikan kesan elegan pada ruangan. Desainnya yang unik dan artistik menjadikan vas ini pilihan dekorasi yang menarik."
Mangkuk Keramik Tradisional,Keramik,100000,250000,"Toko Mede Keramik, Mahaeswari Jepara Craft","terbuat dari keramik dan bergaya tradisional dengan motif klasik, cocok untuk menyajikan makanan atau sebagai pajangan. Tahan lama dan memiliki daya tarik estetis yang tinggi. Ideal untuk mempercantik meja makan atau rak pajangan."
Piring Keramik Hias,Keramik,120000,300000,"Toko Mede Keramik, Griya Parcel Mahar Jepara","dari keramik yang dihias dengan desain yang artistik, dapat digunakan sebagai dekorasi dinding atau piring saji. Motif dan pola unik yang diukir dengan tangan menambah nilai seni. Cocok untuk menghiasi ruang makan atau ruang tamu."
Meja Keramik Ukir,Keramik,1500000,3500000,"Jepara Art Furnicraft, Toko Mede Keramik","berbahan keramik dengan ukiran rumit pada permukaannya, memberikan sentuhan tradisional yang mewah. Cocok digunakan di ruang tamu atau teras sebagai meja hias. Kekuatan keramik membuatnya tahan lama dan kokoh."
Mug Keramik Unik,Keramik,50000,150000,"Toko Mede Keramik, Griya Parcel Mahar Jepara","gelas mug dari keramik dengan desain dan bentuk yang unik, cocok untuk digunakan sehari-hari atau sebagai koleksi. Tahan panas dan mudah dibersihkan, menjadikannya pilihan sempurna untuk minuman panas atau dingin."
Tempat Buah Keramik,Keramik,200000,500000,"Toko Mede Keramik, Jepara Art Furnicraft","wadah buah berbahan keramik dengan hiasan indah di bagian luarnya, memberikan tampilan elegan pada meja makan atau dapur. Tahan lama dan mudah dibersihkan, cocok untuk penggunaan sehari-hari atau pajangan."
Pot Bunga Keramik,Keramik,100000,300000,"Toko Mede Keramik, Jepara Art Furnicraft",pot bunga dari bahan keramik yang tahan lama dengan desain dekoratif. Ideal untuk menanam tanaman hias dalam ruangan atau luar ruangan. Pot ini memberikan sentuhan seni tradisional pada dekorasi taman atau rumah.
Lampu Meja Keramik,Keramik,350000,900000,"Jepara Art Furnicraft, Mahaeswari Jepara Craft","lampu meja berbahan keramik dengan motif ukiran khas yang artistik, memberikan pencahayaan yang lembut dan nyaman. Cocok untuk diletakkan di ruang kerja atau kamar tidur sebagai elemen dekoratif dan fungsional."
Patung Ganesha,Patung,1500000,3500000,"Jepara Art Furnicraft, Mahaeswari Jepara Craft","Patung Ganesha yang dipahat dari batu andesit, melambangkan kebijaksanaan dan keberuntungan. Cocok sebagai pajangan di ruang meditasi atau ruang tamu. Detil ukirannya yang halus memberikan kesan spiritual yang kuat."
Patung Naga,Patung,1800000,4000000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara Furniture","Patung naga yang terbuat dari pahatan batu, simbol kekuatan dan keberanian. Cocok sebagai dekorasi di ruang tamu atau kantor. Ukiran yang detail memberikan nuansa mitologi Asia yang kuat."
Patung Dewi Sri,Patung,1200000,3000000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara Furniture","Patung Dewi Sri, dewi kesuburan dalam tradisi Jawa, sering digunakan sebagai simbol kemakmuran. Cocok ditempatkan di rumah sebagai simbol keberuntungan dan kesejahteraan. Ukiran detilnya menambah estetika ruangan."
Patung Kuda Lari,Patung,2000000,4500000,"Mahaeswari Jepara Craft, Mustika Kayu Jati Jepara Furniture","Patung Dewi Sri, dewi kesuburan dalam tradisi Jawa, sering digunakan sebagai simbol kemakmuran. Cocok ditempatkan di rumah sebagai simbol keberuntungan dan kesejahteraan. Ukiran detilnya menambah estetika ruangan."
Patung Singa Hutan,Patung,1800000,4200000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara Furniture","Patung singa hutan yang menggambarkan kekuatan dan keagungan. Cocok untuk dekorasi rumah atau taman, memberikan nuansa alami dan berwibawa. Ukirannya yang mendetail menambah kesan realistis"
Patung Garuda Kayu,Patung,2000000,5000000,"Mustika Kayu Jati Jepara Furniture, Griya Parcel Mahar Jepara","Patung burung Garuda yang terbuat dari kayu, melambangkan kebebasan dan kekuatan. Cocok sebagai hiasan dinding atau meja, memberikan sentuhan patriotisme. Ukiran halus dan detilnya menambah nilai seni."
Patung Harimau Duduk,Patung,1500000,3500000,"Jepara Art Furnicraft, Mahaeswari Jepara Craft",Patung harimau dalam posisi duduk yang menunjukkan kekuatan dan ketenangan. Ideal untuk diletakkan di ruang tamu atau kantor sebagai simbol kekuasaan. Ukirannya yang realistik membuatnya tampak hidup
Patung Buddha Kayu,Patung,2000000,4500000,"Mustika Kayu Jati Jepara Furniture, Jepara Art Furnicraft","Patung Buddha yang diukir dari kayu jati, simbol ketenangan dan pencerahan. Cocok untuk dekorasi ruangan meditasi atau tempat ibadah. Detil ukiran memberikan nuansa spiritual dan kedamaian."
Patung Kuda Kayu,Patung,1500000,3000000,"Griya Parcel Mahar Jepara, Mustika Kayu Jati Jepara Furniture","Patung kuda yang terbuat dari kayu, memberikan kesan elegan dan kuat. Cocok sebagai dekorasi di ruang tamu atau meja kerja. Ukiran kayu yang halus membuat patung ini menjadi karya seni yang berharga."
Patung Gajah Besar,Patung,3000000,6000000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara Furniture","Patung gajah berukuran besar, simbol kebijaksanaan dan kekuatan. Cocok untuk diletakkan di taman atau ruang keluarga sebagai dekorasi utama. Ukirannya yang detil memberikan kesan megah."
Patung Perkutut,Patung,1200000,3000000,"Mahaeswari Jepara Craft, Jepara Art Furnicraft", Patung burung perkutut yang dikenal sebagai simbol ketenangan dan kedamaian. Ideal untuk diletakkan di dalam rumah sebagai hiasan atau simbol keberuntungan. Desainnya yang sederhana namun artistik menambah keindahan ruangan.
Patung Singa Batu,Patung,2000000,5000000,"Griya Parcel Mahar Jepara, Jepara Art Furnicraft","Patung singa yang diukir dari batu, melambangkan perlindungan dan keberanian. Cocok untuk diletakkan di depan rumah atau di taman. Kesan kokoh dan agung dari patung ini memberikan perlindungan simbolis."
Ukiran Relief Bunga,Ukiran Kayu,600000,1200000,"Mustika Kayu Jati Jepara Furniture, Griya Parcel Mahar Jepara","Ukiran relief dengan motif bunga yang halus, cocok untuk dipasang sebagai dekorasi dinding. Terbuat dari kayu atau batu, memberikan sentuhan alami pada ruangan. Desainnya yang artistik menambah nilai estetika."
Kursi Ukir Jati,Ukiran Kayu,2500000,5500000,"Jepara Art Furnicraft, Mustika Kayu Jati Jepara Furniture","Kursi yang terbuat dari kayu jati dengan ukiran tradisional yang rumit. Cocok untuk digunakan di ruang tamu atau ruang makan, memberikan kesan mewah dan tradisional. Kekuatan kayu jati menjamin keawetan dan kenyamanan."
Ukiran Naga Kayu,Ukiran Kayu,800000,1800000,"Griya Parcel Mahar Jepara, Jepara Art Furnicraft","Ukiran naga yang diukir dari kayu, melambangkan kekuatan dan keberanian. Cocok untuk hiasan dinding atau meja, memberikan nuansa mitologis yang kuat. Detail ukirannya menunjukkan keahlian pengrajin."
Ukiran Kuda Kayu,Ukiran Kayu,1000000,2500000,"Mustika Kayu Jati Jepara Furniture, Griya Parcel Mahar Jepara","Ukiran kayu berbentuk kuda yang elegan, simbol kecepatan dan kebebasan. Cocok untuk diletakkan di ruang tamu atau kantor. Detail ukiran yang halus menambah kesan dinamis dan estetis."
Ukiran Gajah Kayu,Ukiran Kayu,1500000,3000000,"Mustika Kayu Jati Jepara Furniture, Jepara Art Furnicraft","Ukiran kayu berbentuk gajah, melambangkan kebijaksanaan dan kekuatan. Cocok sebagai pajangan di ruang tamu atau taman. Ukirannya yang detil dan artistik memberikan kesan elegan."
Ukiran Hiasan Dinding,Ukiran Kayu,800000,2000000,"Mahaeswari Jepara Craft, Mustika Kayu Jati Jepara Furniture","Hiasan dinding yang diukir dari kayu atau batu dengan motif tradisional, memberikan nuansa budaya pada ruangan. Cocok untuk menghiasi ruang tamu atau kamar tidur. Setiap detail ukiran memiliki makna simbolis yang mendalam."
Cermin Ukiran Kayu,Ukiran Kayu,1000000,2500000,"Mustika Kayu Jati Jepara Furniture, Jepara Art Furnicraft","Cermin dengan bingkai kayu yang diukir dengan motif tradisional, memberikan kesan klasik pada dekorasi ruangan. Cocok untuk kamar tidur atau ruang tamu. Ukiran kayunya menambah keindahan pada setiap sudut cermin."
